NGCNGC/IC;MES-cat;RightAsc.(2000);0;Decl.(2000);0
NGC257;0;0;48;8;17
NGC258;0;0;48;27;39
NGC259;0;0;48;-2;46
NGC260;0;0;48;27;41
NGC261;0;0;46;-73;6
NGC262;0;0;48;31;57
NGC263;0;0;48;-13;6
NGC264;0;0;48;-38;14
NGC265;0;0;47;-73;28
NGC266;0;0;49;32;16
NGC267;0;0;48;-73;16
NGC268;0;0;50;-5;11
NGC269;0;0;48;-73;31
NGC270;0;0;50;-8;39
NGC271;0;0;50;-1;54
NGC272;0;0;51;35;49
NGC273;0;0;50;-6;53
NGC274;0;0;51;-7;3
NGC275;0;0;51;-7;3
NGC276;0;0;52;-22;40
NGC277;0;0;51;-8;35
NGC278;0;0;52;47;33
NGC279;0;0;52;-2;13
NGC280;0;0;52;24;21
NGC281;0;0;52;56;37
NGC282;0;0;52;30;38
NGC283;0;0;53;-13;9
NGC284;0;0;53;-13;9
NGC285;0;0;53;-13;9
NGC286;0;0;53;-13;6
NGC287;0;0;53;32;28
NGC288;0;0;52;-26;35
NGC289;0;0;52;-31;12
NGC290;0;0;51;-73;9
NGC291;0;0;53;-8;46
NGC292;0;0;52;-72;48
NGC293;0;0;54;-7;14
NGC294;0;0;53;-73;22
NGC295;0;0;55;31;32
NGC296;0;0;55;31;40
NGC297;0;0;54;-7;21
NGC298;0;0;55;-7;20
NGC299;0;0;53;-72;11
NGC300;0;0;54;-37;41
NGC301;0;0;56;-10;40
NGC302;0;0;56;-10;40
NGC303;0;0;54;-16;39
NGC304;0;0;56;24;7
NGC305;0;0;56;12;3
NGC306;0;0;54;-72;14
NGC307;0;0;56;-1;46
NGC308;0;0;56;-1;47
NGC309;0;0;56;-9;54
NGC310;0;0;56;-1;45
NGC311;0;0;57;30;16
NGC312;0;0;56;-52;47
NGC313;0;0;57;30;21
NGC314;0;0;56;-31;57
NGC315;0;0;57;30;21
NGC316;0;0;57;30;21
NGC317;0;0;57;43;48
NGC317;0;0;57;43;47
NGC317;0;0;57;43;48
NGC317;0;0;57;43;47
NGC318;0;0;58;30;25
NGC319;0;0;56;-43;50
NGC320;0;0;58;-20;50
NGC321;0;0;57;-5;5
NGC322;0;0;57;-43;43
NGC322;0;0;57;-43;43
NGC323;0;0;56;-52;58
NGC324;0;0;57;-40;57
NGC325;0;0;57;-5;6
NGC326;0;0;58;26;51
NGC327;0;0;57;-5;7
NGC328;0;0;56;-52;55
NGC329;0;0;58;-5;4
NGC330;0;0;56;-72;27
NGC331;0;0;47;-2;43
NGC332;0;0;58;7;6
